1,RL,BH,BH,YH,YH,GH,GH,GL,RH,RH,YL,BL,
2,YL,YL,RL,RL,GL,YH,BH,GL,BL,,,,
3,YL,BL,YH,BH,GH,RH,YH,GH,RL,RL,RL,,
4,BL,GL,RL,RL,YH,GH,GL,YL,RH,GH,,,
5,YL,RL,YL,BL,RL,GL,YH,BH,BL,,,,
6,BL,BL,YL,GH,YH,BL,GL,RL,RL,,,,
7,YH,GH,RL,YL,BL,GH,RH,BL,YL,RL,,,
8,BH,BH,RL,YH,YH,BL,RH,RH,BL,GH,GH,BH,RH
9,BH,BH,RL,YH,YH,BL,RH,RH,BL,GH,GH,BH,RH
10,BH,BH,RL,YH,YH,BL,RH,RH,BL,GH,GH,BH,RH
11,BH,BH,RL,YH,YH,BL,RH,RH,BL,GH,GH,BH,RH
12,BL,RH,RH,YH,YH,RL,GH,GH,BH,RH,BL,BH,BH
13,YL,GL,RL,YL,GL,RH,YH,BH,BH,RL,,,
14,GH,RH,RL,GL,GL,YL,BL,RH,YH,RL,,,
15,BL,BH,YH,GL,BH,N/A,GL,RL,RL,N/A,YH,,
16,BL,BH,YH,GL,BH,N/A,GL,RL,RL,N/A,YH,,
17,RL,BL,YL,YL,GL,RL,GH,RH,RL,,,,
18,RL,BL,YL,YL,GL,RL,GH,RH,RL,,,,
